byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,opening_date,publication_date,summary_short,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
A. O. Scott,0,11/2/2017 4:18,The Day After Tomorrow,Smart Hero. Dumb Officials. Huge Sheet of Ice.,Read the New York Times Review of The Day After Tomorrow,article,http://www.nytimes.com/movie/review?res=9B03E0DD123EF934A15756C0A9629C8B63,PG-13,,5/28/2004,5/27/2004,"Tornadoes in Los Angeles. Hail in Tokyo. The entire northern hemisphere encased in a sheet of ice, with uncountable casualties, including life as we know it. All of which adds up, in the hands of Roland Emmerich, to a  sprawling, oddly light-hearted action picture. The computer-generated special effects are awesome, though not in the traditional sense of the word. As you watch cities obliterated by wind, water and ice, you don't think &quot;My God, how horrible&quot;; you think, &quot;cool!&quot; The only one who seems genuinely worried is Dennis Quaid, playing a scientist whose apocalyptic warnings are ignored until it's too late. He sets out to find his son (Jake Gyllenhaal), who is stranded at the New York Public Library and who seems, all in all, pretty relaxed. Like most disaster films, this one is ultimately more soothing than alarming, which may undermine its supposed ambition to raise awareness about the perils of climate change. — A. O. Scott","Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok",Won 1 BAFTA Film Award. Another 5 wins & 12 nominations.,186583549,USA,12-Oct-04,Roland Emmerich,"Action, Adventure, Sci-Fi","English, Japanese, French, Arabic",47,"As Paleoclimatologist named Jack Hall is in Antartica, he discovers that a huge ice sheet has sheared off. But what he does not know is that this event will trigger a massive climate shift that will affect the world population. Meanwhile, his son Sam is with friends in New York to attend an event. There they discover that it has been raining non-stop for the past 3 days, and after a series of weather-related disasters begin to occur over the world, everybody realizes the world is entering a new Ice Age and the world population begins trying to evacuate to the warmer climates of the south. Jack makes a daring attempt to rescue his son and his friends who are stuck in New York and who have managed to survive not only a massive wave but also freezing cold temperatures that could possibly kill them.",https://m.media-amazon.com/images/M/MV5BMTU1NTA3NzMwOV5BMl5BanBnXkFtZTcwNzEzMTEzMw@@._V1_SX300.jpg,20th Century Fox,PG-13,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",28-May-04,TRUE,124 min,The Day After Tomorrow,movie,http://www.thedayaftertomorrow.com/,"Roland Emmerich (story), Roland Emmerich (screenplay), Jeffrey Nachmanoff (screenplay)",2004,tt0319262,6.4,"371,692"
Stephen Holden,0,11/2/2017 4:18,Love Me If You Dare,A Couple Who View Risk as the Ultimate Romance,Read the New York Times Review of Love Me If You Dare,article,http://www.nytimes.com/movie/review?res=9F00E5D6103FF932A15756C0A9629C8B63,R,,5/28/2004,5/21/2004,"Only the French, those self-proclaimed sages of  &quot;l'amour fou,&quot; would dream of concocting a surreal romantic allegory like this grown-up fairy tale. The rococo fantasy, tricked out with animation and with actors sailing like little Supermen through toy cutout clouds, belongs to the same school of whimsical excess as  &quot;The Umbrellas of Cherbourg&quot; and &quot;Amelie.&quot; But as the movie glides along, its story turns considerably darker than its fluffy, candy-colored forerunners. Narrated by its  protagonist (Guillaume Canet), the movie follows the increasingly destructive games of one-upmanship he plays over three decades with his closest childhood friend (Marion  Cotillard). The two meet as 8-year-old children and enter a private world in which  they dare each other to carry out increasingly outrageous pranks. On one level, the movie  is a parable of the battle of the sexes. On another it portrays the insanity of any romantic  quest (they love each other but can't say it) in which the postponement of fulfillment  becomes a desperate end in itself. &#151; Stephen Holden","Guillaume Canet, Marion Cotillard, Thibault Verhaeghe, Joséphine Lebas-Joly",5 wins & 2 nominations.,449282,"France, Belgium",19-Oct-04,Yann Samuell,"Comedy, Drama, Romance",French,45,"Julien Janvier lost his mother young, drifted apart from his working class father and ever closer to confident Sophie Kowalsky, the Polish class outsider. Their dares game, symbolized by an interchanged music-box, grows ever bolder, regardless of harm to others and each-other. In his college years, it even suspends their relationship and toys with their marriages, but they are drawn back to each-other irresistibly.",https://m.media-amazon.com/images/M/MV5BNjIwOGJhY2QtMTA5Yi00MDhlLWE5OTgtYmIzZDNlM2UwZjMyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,Paramount Classics,R,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",28-May-04,TRUE,93 min,Love Me If You Dare,movie,http://www.paramountclassics.com/loveme/,Yann Samuell,2003,tt0364517,7.7,"62,170"
A. O. Scott,0,11/2/2017 4:18,Shrek 2,"The New Son-in-Law's an Ogre, and Hollywood Is the Target",Read the New York Times Review of Shrek 2,article,http://www.nytimes.com/movie/review?res=9506EFD6143FF93BA25756C0A9629C8B63,,,5/19/2004,5/18/2004,"This sequel revives the raucous high spirits of its predecessor, with some new characters, jokes and satiric targets to compensate for the loss of novelty. Shrek (Mike Myers) and Fiona (Cameron Diaz), now married, travel with Donkey (Eddie Murphy) to meet Shrek's in-laws, the king and queen of Far Far Away, which is to Hollywood what Duloc was to Disney in the first &quot;Shrek.&quot; There they contend with a scheming fairy godmother (Jennifer Saunders), and a swashbuckling, scene-stealing Puss in Boots (Antonio Banderas). The animation has improved, and the cross-generational appeal — slapstick and moralizing for the kids, cheekiness and pop music for the grownups — is precisely calibrated and jauntily executed. Still, the cynicism of the enterprise leaves a bit of a sour taste. The movie is too timid to risk genuine ugliness, and too crude to try for real beauty. — A. O. Scott","Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews",Nominated for 2 Oscars. Another 18 wins & 50 nominations.,436471036,USA,2-Nov-04,"Andrew Adamson, Kelly Asbury, Conrad Vernon","Animation, Adventure, Comedy, Family, Fantasy, Romance",English,75,"Shrek has rescued Princess Fiona, got married, and now is time to meet the parents. Shrek, Fiona, and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. It's not just the family who are unhappy. Prince Charming returns from a failed attempt at rescuing Fiona, and works alongside his mother, the Fairy Godmother, to try and find a way to get Shrek away from Fiona.",https://m.media-amazon.com/images/M/MV5BMDJhMGRjN2QtNDUxYy00NGM3LThjNGQtMmZiZTRhNjM4YzUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,DreamWorks SKG,PG,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",19-May-04,TRUE,93 min,Shrek 2,movie,http://www.shrek2.com/,"William Steig (based upon the book by), Andrew Adamson (story by), Andrew Adamson (screenplay by), Joe Stillman (screenplay by), J. David Stem (screenplay by), David N. Weiss (screenplay by), Cody Cameron (additional dialogue), Walt Dohrn (additional dialogue), Chris Miller (additional dialogue), David P. Smith (additional dialogue), Conrad Vernon (additional dialogue)",2004,tt0298148,7.2,"362,961"
A. O. Scott,1,11/2/2017 4:18,Coffee and Cigarettes,An Episodic Ride Full of Serial Sipping and Smoking,Read the New York Times Review of Coffee and Cigarettes,article,http://www.nytimes.com/movie/review?res=9A07E5D91E3CF937A25756C0A9629C8B63,R,,6/11/2004,5/14/2004,"Over 17 years, in the midst of other, more ambitious projects, Jim Jarmusch assembled this anthology of minor-key vignettes in celebration of caffeine, nicotine and the indolent pleasure of sitting around and consuming them. Not that the people in the film are always having such a good time: they seem, rather, to get on one another's nerves with some regularity. Some of the chapters are almost vanishingly slight —  hipster anecdotes that float away like smoke rings. Others —  notably a hotel bar encounter in which Cate Blanchett plays both herself and a resentful cousin and a game of celebrity one-upmanship between Alfred Molina and Steve Coogan —  have the compact perfection of good one-act plays. The whole thing is like an old LP; some tracks are more memorable than others, but the cumulative effect is ragged, serendipitous magic. — A. O. Scott","Roberto Benigni, Steven Wright, Joie Lee, Cinqué Lee",2 wins & 9 nominations.,1971135,"USA, Japan, Italy",21-Sep-04,Jim Jarmusch,"Comedy, Drama, Music","English, French",65,"Eleven separate vignettes are presented. In each, celebrities, playing semi-fictionalized versions of themselves (with the exception of the characters of various wait staff, and one actor playing a lookalike cousin of herself), meet in a food service establishment with coffee/tea and cigarettes involved. Beyond the topic of discussion that brought them together, they often talk directly about coffee and cigarettes, more often that coffee and cigarettes, and by association caffeine and nicotine, are not healthy, especially if they are the only things constituting lunch. Other recurring themes include the Lee family, cousinhood, celebrity worship, the connection between the medical and musical careers, and Nikola Tesla's belief that the Earth is a conductor of acoustic resonance. In all cases, the coming together for coffee/tea and smokes acts as a bridge to overcome disagreements, and/or makes uncomfortable situations less uncomfortable.",https://m.media-amazon.com/images/M/MV5BYzQxNzMzZTEtNjc1YS00NzExLWI0ZGItMWMxZTQzNDI1MjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,MGM,R,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",11-Jun-04,TRUE,95 min,Coffee and Cigarettes,movie,http://www.coffeeandcigarettesmovie.com/,Jim Jarmusch,2003,tt0379217,7.1,"53,411"
Stephen Holden,0,11/2/2017 4:18,Breakin' All the Rules,An Overnight Expert in the Game of Love,Read the New York Times Review of Breakin' All the Rules,article,http://www.nytimes.com/movie/review?res=9A0CE0DC1F3CF937A25756C0A9629C8B63,PG-13,,5/14/2004,5/14/2004,Jamie Foxx floats gracefully through this screwball sex comedy with a cocked eyebrow and the playful  smirk of an overgrown adolescent. He's too canny to take the romantic Sturm und Drang  swirling around him with less than a healthy grain of salt. The actor's deft touch lends the  flighty story of mistaken identities and romantic mix-ups among mostly African-American characters in Los Angeles a saucy bounce. The movie is so determined to cross the finish line in under 90 minutes that it doesn't pause for logic or psychological sense. &#151; Stephen Holden,"Jamie Foxx, Gabrielle Union, Morris Chestnut, Peter MacNicol",1 win & 5 nominations.,11827301,USA,12-Oct-04,Daniel Taplitz,"Comedy, Romance",English,46,"Quincy Watson, after being unceremoniously dumped by his fiancée, pens a ""how to"" book on breaking up and becomes a best-selling author on the subject. Not wanting his male friends to suffer the same fate, he gives them advice on dumping their mates. A comedy of errors ensues.",https://m.media-amazon.com/images/M/MV5BMTMwNDk4NzE4NF5BMl5BanBnXkFtZTcwNzExMzUyMQ@@._V1_SX300.jpg,Screen Gems,PG-13,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",14-May-04,TRUE,85 min,Breakin' All the Rules,movie,http://sonypictures.com/movies/breakinalltherules,Daniel Taplitz,2004,tt0349169,5.6,"5,456"
A. O. Scott,0,11/2/2017 4:18,Troy,Greeks Bearing Immortality,Read the New York Times Review of Troy,article,http://www.nytimes.com/movie/review?res=9B07E6DE1E3CF937A25756C0A9629C8B63,R,,5/14/2004,5/14/2004,"All the talk of glory and immortality is a clear signal that this big, expensive, intermittently campy example of Hollywood Homerism is desperate to be regarded as a classic. It isn't, but it's not so bad either. Yes, the score is dreadful and the dialogue sometimes painfully obvious, but Wolfgang Petersen and David Benioff take the ancient world and its notions of war seriously. Brad Pitt, in spite of an odd pseudo-English accent (perhaps adopted in deference to the mostly British and Australian cast), plays Achilles with wit and charisma, turning the character into a kind of existentialist warrior rock star. Eric Bana, as Achilles' Trojan counterpart and nemesis, Hector, has a brooding sensitivity that contrasts with Mr. Pitt's brashness. Some of the battle scenes have a vigorous old-time grandeur, and though it takes some inevitable liberties with the source material, the film is more astute about the political and moral complexities of war than most recent combat pictures. — A. O. Scott","Julian Glover, Brian Cox, Nathan Jones, Adoni Maropis",Nominated for 1 Oscar. Another 4 wins & 21 nominations.,132500000,"USA, Malta, UK",4-Jan-05,Wolfgang Petersen,"Drama, History, Romance",English,56,"As the Greeks fall, they decided to head back home. King Priam decides to have one last battle with the Greeks to leave Troy for good. It was a night battle so the Greeks didn't knew, raining them down with flaming arrows and lighting huge balls of dry branches and rolling them down at the beach. It was a battle that Achilles wasn't in, but his cousin Patroclus pretended to be him by wearing his armor, his sword, his helmet, and his moves. Hector finally had a battle with Achilles not knowing it wasn't him. Patroclus was fast but Hector was faster, causing him to cut Patroclus's neck and finishing him with a sword to the heart.",https://m.media-amazon.com/images/M/MV5BMTk5MzU1MDMwMF5BMl5BanBnXkFtZTcwNjczODMzMw@@._V1_SX300.jpg,Warner Bros. Pictures,R,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",14-May-04,TRUE,163 min,Troy,movie,http://troymovie.warnerbros.com/index_flash.html,"Homer (poem), David Benioff (screenplay)",2004,tt0332452,7.2,"436,180"
A. O. Scott,0,11/2/2017 4:18,New York Minute,"One Sings, the Other Doesn't (The Olsens Take Manhattan)",Read the New York Times Review of New York Minute,article,http://www.nytimes.com/movie/review?res=9B01E4DC163CF934A35756C0A9629C8B63,PG,,5/7/2004,5/7/2004,"Parents dreading the prospect of being dragged by their children to this latest installment in the Olsen sisters' campaign of world domination should take heart &#151; at least somewhat. This teenage caper comedy, in which Mary-Kate and Ashley, playing twin sisters, sprint through Manhattan on the run from a truant officer (Eugene Levy) and a limo driver (Andy Richter) is crisp and professional. It is not too syrupy and not overly obnoxious, though the squeaky-clean perkiness of the sisters can wear you down (and also, in Ashley's scenes of teasing, semi-nudity, creep you out). But luckily, and above all, it is short. &#151; A. O. Scott","Ashley Olsen, Mary-Kate Olsen, Eugene Levy, Andy Richter",6 nominations.,14018364,USA,17-Aug-04,Dennie Gordon,"Comedy, Crime, Family",English,33,"One day in New York City, as Jane Ryan tries out for an overseas college program and her sister Roxy schemes to meet her favorite punk rockers, a series of mishaps throws their day into chaos. In order for them both to accomplish their goals, the normally adversarial sisters decide to unite against the forces around them.",https://m.media-amazon.com/images/M/MV5BMTI2Mjc0OTc0MV5BMl5BanBnXkFtZTcwMjM4MzUyMQ@@._V1_SX300.jpg,Warner Bros.,PG,"{'Source': 'Internet Movie Database', 'Value': '4.9/10'}",7-May-04,TRUE,91 min,New York Minute,movie,http://www.newyorkminutemovie.com,"Emily Fox (story), Emily Fox (screenplay), Adam Cooper (screenplay), Bill Collage (screenplay)",2004,tt0363282,4.9,"19,559"
Elvis Mitchell,0,11/2/2017 4:18,Mean Girls,Tribal Rites of Teenage Girls Who Rule by Terror,Read the New York Times Review of Mean Girls,article,http://www.nytimes.com/movie/review?res=9A04EFDB173DF933A05757C0A9629C8B63,PG-13,,4/30/2004,4/30/2004,"This tart and often charming new comedy is a version of the heart-of-darkness teen social comedy &quot;Heathers&quot; for the tweener audience; it has the ambitious and cartoony dark side of a Disney Channel sitcom, with a lively and talented young cast headed by the cherubic Lindsay Lohan. The &quot;Saturday Night Live&quot; writer and performer Tina Fey wrote the script and gives the material a stylized vitality. But it does add a be-yourself finale that, while standard for such movies, this picture doesn't quite seem to buy — it's the kind of bored manipulation you come to expect from the Plastics, the pack of hallway-shrewd and glamorous teen queens who rule, through subtle terror, the high school that Cady (Ms. Lohan) attends. It's her first brush with socialization, since Cady was home schooled by her zoologist parents, who raised their daughter while traveling in Africa. Since most of &quot;Girls&quot; consists of the outsider Cady observing the tribal rites of her new setting and laying it all out in narration, this movie is great home for the meticulous and ruthless deadpan that Ms. Fey has perfected for the satirical &quot;S.N.L.&quot; newscast. Though narrative cohesion isn't the strength of &quot;Girls&quot; — as a series of moments, it works better from scene to scene than as a whole — the intelligence shines in its understanding of contradictions. Scene by scene, you can't help but be impressed by &quot;Girls&quot;; it's like a group of sketches linked by theme, with some playing much better than others. But after a while, it does begin to seem like it has the easily diverted attention span of one of its archetypal high school kids — you feel a little like a scold for wanting it to buckle down and concentrate. — Elvis Mitchell","Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows",7 wins & 25 nominations.,85974306,"USA, Canada",21-Sep-04,Mark Waters,Comedy,"English, German, Vietnamese, Swahili",66,"Her parents being zoologists, homeschooled Cady Heron lived in Africa for 15 years. Attending a Chicago public high school for the first time, she starts out by befriending the ""best people you will meet"", Janis, a supposedly lesbian girl; and Damian, a boy ""too gay to function"". Cady is warned to avoid the ""worst people you will ever meet"", the Plastics--a clique comprised of three girls: Gretchen Wieners, a girl who's rich because her father invented toaster strudel; Karen Smith, the ""dumbest girl you will ever meet""; and Regina George, the unofficial leader and the meanest one. She becomes a hit with the Plastics and eventually assimilates into the clique, only for Janis to ask her sabotage them. After conflicts involving Regina's ex-boyfriend, Aaron Samuels, Cady later becomes tied between being part of them or sabotaging them. Whilst eventually becoming one, she sabotages them. She tricks Regina into eating fattening candy bars that she claims will make her skinny, tries to break her and Samuel up, and tries to turn her fellow Plastics, Karen and Gretchen against her. Will she be caught? Will she become too Plastic and become the fourth Plastic?",https://m.media-amazon.com/images/M/MV5BMjE1MDQ4MjI1OV5BMl5BanBnXkFtZTcwNzcwODAzMw@@._V1_SX300.jpg,Paramount Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",30-Apr-04,TRUE,97 min,Mean Girls,movie,http://www.meangirlsmovie.com/indexflash.html,"Rosalind Wiseman (book), Tina Fey (screenplay)",2004,tt0377092,7,"288,510"
Stephen Holden,0,11/2/2017 4:18,"Bobby Jones, Stroke of Genius",A Golf Hero Who Suffers in Silence,"Read the New York Times Review of Bobby Jones, Stroke of Genius",article,http://www.nytimes.com/movie/review?res=990DE2DC173DF933A05757C0A9629C8B63,PG,,4/30/2004,4/30/2004,"The most pertinent question posed by this high-minded, lethally dull biography of the legendary golfer Bobby Jones is whether a smidgen of the box-office magic of &quot;The Passion of the Christ&quot; has rubbed off  on its star, Jim Caviezel. The movie, which subscribes to the hero-as-masochist archetype, is as reverent in its awed, Sunday-school way as &quot;The Passion of the Christ&quot; is in its furious, gory way. Mr. Caviezel's bland impenetrability may fit the screenplay's portrayal of Jones as a ferocious competitor who internalized stress and suffered physically for it, but his muted presence fails to create a compelling character. The movie, which wants to ennoble golf with the same spiritual mystique that &quot;Chariots of Fire&quot; brought to running, is even more hushed in tone than its prototype. But no amount of cinematic gloss (and symphonic musical uplift by James Horner) can cover up the fact that golf isn't an especially cinematic sport. &#151; Stephen Holden","Jim Caviezel, Claire Forlani, Jeremy Northam, Malcolm McDowell",1 nomination.,2536460,USA,30-Nov-04,Rowdy Herrington,"Biography, Drama, Romance, Sport",English,45,"Robert Tyre Jones, Jr., aka ""Bobby Jones"" rises from complete obscurity to become a golfing legend. Jones overcomes his own fierce temper, intense passion, and perfectionist tendencies to master the game and win the Grand Slam, the U.S., British, and Amateur Opens in golf, a feat unequaled even today. But it is Jones's style, personality, and character that separate him from the other professionals in his field. When Jones realizes that his unparalleled success may be destroying those he loves he's presented with an astounding proposition, one that shocks the world.",https://m.media-amazon.com/images/M/MV5BMTQxMzk1MTY4OV5BMl5BanBnXkFtZTYwMDM0MzE3._V1_SX300.jpg,Film Foundry Releasing,PG,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",30-Apr-04,TRUE,120 min,Bobby Jones: Stroke of Genius,movie,http://www.bobbyjonesthemovie.com,"Rowdy Herrington (story), Kim Dawson (story), Rowdy Herrington (screenplay), Bill Pryor (screenplay), Tony De Paul (screenplay)",2004,tt0375104,6.7,"3,482"
Elvis Mitchell,0,11/2/2017 4:18,Godsend,When Cloning a Dead Child Leads to Even Deeper Grief,Read the New York Times Review of Godsend,article,http://www.nytimes.com/movie/review?res=9C0CE7DD173DF933A05757C0A9629C8B63,PG-13,,4/30/2004,4/30/2004,"In this portentous, and quickly disappointing, thriller even a kid's birthday party is lighted like a beyond-the-grave spectacular, or a wedding in &quot;The Godfather.&quot; This illogical but juicy bad-vibe opening suggests that Nick Hamm is going to provide some handsomely mounted scares; the birthday party of 8-year-old Adam Duncan (Cameron Bright) is being held at night; you expect social workers to come in and lecture his parents, Paul (Greg Kinnear) and Jessie (Rebecca Romjin-Stamos). After Adam dies in a horrible accident, his grief-stricken parents are approached by the eminent genetic scientist Dr. Richard Wells (Robert De Niro) at the cemetery. Wells pounces on Paul and Jessie with his procedure to produce a perfect duplicate of the dead son from one of his cells. The script, by Mark Bomback, starts with such a good idea — parents devastated by the loss of a child offered a deal, getting an exact duplicate, that they're compelled to take — that you give &quot;Godsend&quot; the benefit of the doubt for much longer than it deserves. As the second Adam hits the age at which the original one died, he's consumed by nightmares, and the movie drops into its second-rate horror-movie flailings, and failings. — Elvis Mitchell","Greg Kinnear, Rebecca Romijn, Robert De Niro, Cameron Bright",N/A,14285888,"Canada, USA",17-Aug-04,Nick Hamm,"Action, Drama, Fantasy",English,24,"The 8-year-old Adam is killed in a traffic accident. His grieving parents agree to recreate him through experimental and illegal cloning, conducted by an ingenious but pushy geneticist. After eight happy years, a scary door opens between Adam II and someone from the past.",https://m.media-amazon.com/images/M/MV5BMTYzNzE3MTg5Ml5BMl5BanBnXkFtZTcwMTIxNDYwNQ@@._V1_SX300.jpg,Lions Gate Films,PG-13,"{'Source': 'Internet Movie Database', 'Value': '4.8/10'}",30-Apr-04,TRUE,102 min,Godsend,movie,http://www.godsendthemovie.com/,Mark Bomback,2004,tt0335121,4.8,"23,597"
Stephen Holden,0,11/2/2017 4:18,Envy,A Dog-Maintenance Miracle and the Shaky Empire It Built,Read the New York Times Review of Envy,article,http://www.nytimes.com/movie/review?res=9D00E0DB173DF933A05757C0A9629C8B63,PG-13,,4/30/2004,4/30/2004,"Jack Black, riding on the success of &quot;The School of Rock,&quot; is Nick Vanderpark, a babyish instant zillionaire thanks to his patenting of Vapoorize, an aerosol spray that when applied to dog feces (or any other kind) makes them evaporate. Ben Stiller is his best friend, Tim, who lives across the street and stews in jealousy of his pal's wealth. The movie gets laughs from Nick's grotesquely extravagant lifestyle. But instead  of honestly confronting the subject of wealth and Schadenfreude and the consumer  culture, not to mention the Swiftian implications of the miracle product that makes Nick  rich, it goes on silly farcical tangents that run out of steam. One involves the J-Man  (Christopher Walken), a mysterious and slightly sinister drifter who appoints himself Tim's cynical adviser. The movie, which plays like Barry Levinson's attempt to match the Farrelly Brother in adolescent goofiness, has its laughs. But it's also afraid of itself, as though it decided its chosen subject was too serious for comedy. — Stephen Holden","Ben Stiller, Jack Black, Rachel Weisz, Amy Poehler",3 nominations.,12181484,USA,28-Sep-04,Barry Levinson,Comedy,English,31,"Ben Stiller and Jack Black star as Tim and Nick, best friends, neighbors and co-workers, whose equal footing is suddenly tripped up when one of Nick's harebrained get-rich-quick schemes actually succeeds: Vapoorizer, a spray that literally makes dog poop, or any other kind for that matter, evaporate into thin air -- to where exactly is anyone's guess. Tim, who had scoffed at Nick's idea and passed on an opportunity to get in on the deal, can only watch as Nick's fortune -- and Tim's own envy -- grow to equally outrageous proportions. When the flames of jealousy are fanned by an oddball drifter (Walken) who imposes himself into the situation, Tim's life careens wildly out of control ... taking Nick's with it.",https://m.media-amazon.com/images/M/MV5BNTA5OTcyZmEtODUxZS00MWRhLTkxODItYmNmNGMwZDg3ZTFmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,DreamWorks SKG,PG-13,"{'Source': 'Internet Movie Database', 'Value': '4.8/10'}",30-Apr-04,TRUE,99 min,Envy,movie,http://www.envy-themovie.com/,Steve Adams,2004,tt0326856,4.8,"28,177"
A. O. Scott,0,11/2/2017 4:18,Laws of Attraction,A Steely-Hearted Woman vs. a Rascally Charming Man,Read the New York Times Review of Laws of Attraction,article,http://www.nytimes.com/movie/review?res=9A07EEDF173DF933A05757C0A9629C8B63,PG-13,,4/30/2004,4/30/2004,"Julianne Moore and Pierce Brosnan, charming and appealing as ever, do their best to keep this attempt at light-hearted Manhattan romance afloat. Unfortunately, the movie lacks the sparkle, sophistication and imagination that even a so-so episode of &quot;Sex and the City&quot; might muster. The two stars play dueling divorce lawyers who fall in and out of love with a remarkable lack of conviction. Frances Fisher, as Ms. Moore's youth-obsessed mother, is the only person in the movie with any moxie, which only serves to emphasize how timid and soft the whole affair is. — A. O. Scott","Pierce Brosnan, Julianne Moore, Michael Sheen, Parker Posey",2 nominations.,17848322,"Ireland, UK, Germany",24-Aug-04,Peter Howitt,"Comedy, Romance",English,38,"This is the story of two New York divorce attorneys who are often competing against each other, but end up in a relationship nonetheless. When they get married, can they avoid the same issues at home that lead people to provide them business at work? One of the central cases in the story is the heavily-publicized divorce of a rock star from his wife...",https://ia.media-imdb.com/images/M/MV5BMjEzODg4MjM1NF5BMl5BanBnXkFtZTYwNzQzNTI3._V1_SX300.jpg,New Line Cinema,PG-13,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",30-Apr-04,TRUE,90 min,Laws of Attraction,movie,http://www.attractionmovie.com,"Aline Brosh McKenna (story), Aline Brosh McKenna (screenplay), Robert Harling (screenplay)",2004,tt0323033,5.9,"20,260"
Elvis Mitchell,0,11/2/2017 4:18,13 Going On 30,Freaky Future,Read the New York Times Review of 13 Going On 30,article,http://www.nytimes.com/movie/review?res=950CE1DE143AF930A15757C0A9629C8B63,PG-13,,4/23/2004,4/23/2004,"The comedy &quot;13 Going on 30&quot; is essentially a retread of &quot;Big.&quot; What keeps the picture going is the director Gary Winick's love for actors, and his refusal to judge them by the characters they play. And any movie that telegraphs its fondness for its cast automatically has something going for it that's rare in contemporary comedy; this isn't one of those movies in which most of the actors steer clear of upstaging the star. This spiritual decency, a handful of songs from the toddler days of MTV and a few other fillips of clear-eyed charm go a long way toward making up for the tiredness of the concept, a kid magically leapfrogging into the body of an adult. In this case, it's 13-year-old Jenna (Christa B. Allen), who's suffering through a miserable failure of a birthday.  When some magic dust that a friend gives her lands on her carefully moussed hair, she awakens from a nap as a 30-year-old version of herself (Jennifer Garner). As acted by Ms. Garner, Jenna has a coltish gawkiness that she never quite sublimates. The obvious laughs are wrung from the contrast of an inexperienced child in a mature body, as Jenna bobs through a world in which the supposed adults turn out to be more childish than she is. The performances give the movie more flavor and life than the situation, which often feels like pre-chewed Bubble Yum. — Elvis Mitchell","Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis",11 nominations.,54600000,USA,7-Feb-06,Gary Winick,"Comedy, Fantasy, Romance","English, Portuguese",57,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. Thanks to some wishing dust, Jenna's prayer has been answered. With a knockout body, a dream apartment, a fabulous wardrobe, an athlete boyfriend, a dream job, and superstar friends, this can't be a better life. Unfortunately, Jenna realizes that this is not what she wanted. The only one that she needs is her childhood best friend, Matt, a boy that she thought destroyed her party. But when she finds him, he's a grown up, and not the same person that she knew.",https://m.media-amazon.com/images/M/MV5BMjA1MTI3ODEwNF5BMl5BanBnXkFtZTcwOTA4NDUyMQ@@._V1_SX300.jpg,Sony Pictures,PG-13,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",23-Apr-04,TRUE,98 min,13 Going on 30,movie,http://www.sonypictures.com/movies/13goingon30/index.html,"Josh Goldsmith, Cathy Yuspa",2004,tt0337563,6.1,"141,762"
